Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,A. B. A. Ghani Khan Choudhury,Malda,INC,1,Graduate,"Rs 41,15,704","Rs 41,87,744"
2,A. F. GOLAM OSMANI,Barpeta,INC,0,Graduate Professional,"Rs 10,05,000",Rs 0
3,A. NARENDRA,Medak,TRS,0,Graduate,"Rs 20,20,000","Rs 5,00,000"
4,A. R. ANTULAY,Kolaba,INC,0,Graduate Professional,"Rs 2,84,68,000",Rs 0
5,A.VENKATESH NAIK,Raichur,INC,0,12th Pass,"Rs 56,15,514","Rs 4,47,987"
6,AARON RASHID J. M.,Periyakulam,INC,0,10th Pass,"Rs 15,20,98,686","Rs 22,53,320"
7,ABDUL RASHID SHAHEEN,Baramulla,JKN,0,Post Graduate,"Rs 1,71,74,843","Rs 10,56,615"
8,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 17,08,375",Rs 0
9,ADHALARAO PATIL SHIVAJIRAO,Khed,SHS,0,Post Graduate,"Rs 5,22,30,281","Rs 1,23,32,651"
10,Adhir Ranjan Chowdhury,Berhampore,INC,3,10th Pass,"Rs 1,93,95,174",Rs 0
11,ADITYA NATH,Gorakhpur,BJP,0,Graduate,"Rs 9,60,672",Rs 0
12,ADSUL ANANDRAO VITHOBA,Buldhana,SHS,2,Graduate,"Rs 2,06,30,019","Rs 61,11,246"
13,AFAJAL ANSARI,Ghazipur,SP,1,Post Graduate,"Rs 50,85,464","Rs 38,022"
14,AHIR VIKRAMBHAI,Jamnagar,INC,0,Graduate,"Rs 48,37,028","Rs 5,74,600"
15,AHIR HANSRAJ GANGARAM,Chandrapur,BJP,16,10th Pass,"Rs 26,53,960",Rs 0
16,Ajay Chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672",Rs 0
17,AJAY MAKAN,New Delhi,INC,1,Post Graduate,"Rs 3,02,34,158","Rs 6,50,000"
18,AJIT JOGI,Mahasamund,INC,2,Graduate Professional,"Rs 88,35,009",Rs 0
19,AJIT KUMAR SINGH,Bikramganj,JD(U),0,Post Graduate,"Rs 1,43,62,110",Rs 0
20,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683","Rs 14,56,567"
21,AKHILES PRASAD SINGH,Motihari,RJD,0,Post Graduate,"Rs 36,69,358",Rs 0
22,AKHILESH YADAV,Kannauj,SP,0,Post Graduate,"Rs 2,31,42,705",Rs 0
23,AKSHAY PRATAP SINGH (GOPAL JI),Pratapgarh,SP,26,Literate,"Rs 21,69,847",Rs 0
24,Alakesh Das,Nabadwip,CPM,0,Post Graduate,"Rs 2,78,876","Rs 18,382"
25,ALEMAO CHURCHIL BRAZ,Mormugao,INC,1,12th Pass,"Rs 86,75,904","Rs 81,72,004"
26,ALOK KUMAR MEHTA,Samastipur,RJD,0,Graduate Professional,"Rs 67,94,434",Rs 0
27,AMBAREESH M. H.,Mandya,INC,0,Not Given,"Rs 73,94,819","Rs 3,21,600"
28,Amitava Nandy,Dum Dum,CPM,0,12th Pass,"Rs 29,35,137",Rs 0
29,ANANT GEETE,Ratnagiri,SHS,0,12th Pass,"Rs 55,18,754","Rs 12,00,000"
30,ANANT GUDHE,Amravati,SHS,0,Graduate,"Rs 35,32,477","Rs 2,17,263"
31,ANANTA NAYAK,Keonjhar,BJP,0,12th Pass,"Rs 8,18,420","Rs 69,086"
