Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,"""SUDAROLI"" MURUGAN S. B.COM.,",Tirunelveli,IND,0,Not Given,"Rs 54,652","Rs 67,100"
2,(AIDS MAN) PRAKASH TATERAO LANDGE,Nanded,IND,0,Graduate,"Rs 3,50,000",Rs 0
3,A Arokiasamy,Palakkad,IND,0,10th Pass,"Rs 32,000",Rs 0
4,A B SINGH,Chittorgarh,BSP,0,Post Graduate,"Rs 33,47,551",Rs 0
5,A Gumpa Swamy,Araku,IND,0,Illiterate,Nil,Rs 0
6,A K Abdul Nasar,Kozhikode,BSP,0,10th Pass,"Rs 32,72,000",Rs 0
7,A Laxman Rao,Adilabad,IND,0,10th Pass,"Rs 15,60,000",Rs 0
8,A N Radhakrishnan,Ernakulam,BJP,1,Graduate,"Rs 43,01,709","Rs 17,00,000"
9,A. AMARNADH,Chittoor,RKSP,0,Not Given,Nil,Rs 0
10,A. David Raju,Peddapalle,PRAP,1,10th Pass,"Rs 14,60,000",Rs 0
11,A. Fatima,Hyderabad,PRAP,0,Graduate Professional,"Rs 37,000",Rs 0
12,A. HAROON ALI,Lucknow,IND,0,Graduate,"Rs 17,51,500","Rs 34,380"
13,A. Nageshwar Rao,Nalgonda,PPOI,0,Not Given,"Rs 10,43,501",Rs 0
14,A. P. Ahamed,Hassan,BSP,0,5th Pass,"Rs 11,00,000","Rs 3,00,000"
15,A. RAEES A. JABBAR,Nanded,ANC,0,Literate,"Rs 50,000",Rs 0
16,A. RASHID ANSARI,Pratapgarh,MC,1,Graduate,"Rs 17,89,119",Rs 0
17,A.Chandrashekar,Bangalore Central,IND,0,8th Pass,"Rs 1,95,000",Rs 0
18,A.K. GUPTA,South Delhi,SP,0,12th Pass,"Rs 71,40,000",Rs 0
19,A.K. ROY,Dhanbad,MCO,1,Post Graduate,"Rs 61,317",Rs 0
20,A.Kamalamma,Peddapalle,IND,0,Not Given,"Rs 1,55,000",Rs 0
21,A.N.BACHEGOWDA,Chikkballapur,IND,0,5th Pass,Nil,Rs 0
22,A.P.Jithender Reddy,Chevella,TDP,1,Graduate,"Rs 26,76,68,583","Rs 36,21,000"
23,A.S.Paul,Bangalore Central,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Graduate,"Rs 11,73,000","Rs 6,300"
24,A.T. NANA PATIL,Jalgaon,BJP,0,Graduate,"Rs 10,38,39,607","Rs 92,00,000"
25,A.U.FAROOQ,Nandyal,IND,0,5th Pass,"Rs 10,10,000",Rs 0
26,A.V.Shiva Kumar,Nagarkurnool,IND,0,10th Pass,"Rs 5,00,000","Rs 1,80,000"
27,A.Venkatesh,Nagarkurnool,IND,0,12th Pass,Nil,Rs 0
28,AAMELIYA HANSDA,Rajmahal,RSP,0,8th Pass,"Rs 7,09,222",Rs 0
29,AAMER AHMED MADNI,New Delhi,SP,0,Graduate Professional,"Rs 2,70,000",Rs 0
30,AANANDAN V.S.K.S.,Sivaganga,IND,0,Not Given,Nil,Rs 0
31,AAPPASAHEB RADHAKISAN KUDHEKAR,Jalna,KM,0,12th Pass,"Rs 5,55,000",Rs 0
32,Aaris Mohammed,Nizamabad,IND,0,10th Pass,"Rs 16,554",Rs 0
33,AARON RASHID.J.M,Theni,INC,0,12th Pass,"Rs 24,89,74,573","Rs 21,91,815"
34,AAVID HUSSAIN,Amethi,IND,0,Not Given,"Rs 10,95,200",Rs 0
35,AAWALE JAYWANT GANGARAM,Latur,INC,1,10th Pass,"Rs 3,04,85,766",Rs 0
36,AAWCHARE VIJAYKUMAR BABRUWAN,Latur,IND,0,Post Graduate,"Rs 15,000",Rs 0
37,ABADHESH SHAKYA,Mainpuri,RSMD,0,10th Pass,"Rs 12,30,200",Rs 0
38,ABBAS,Hardwar,IND,0,5th Pass,"Rs 11,76,000",Rs 0
39,Abbas Muthalappara,Kasaragod,IND,0,10th Pass,"Rs 15,000",Rs 0
40,ABBDUL KADIR,Garhwal,IND,0,Literate,"Rs 5,40,593","Rs 5,000"
41,ABDESH BHOOSHAN SRIVASTAVA,Jhansi,IND,1,Not Given,"Rs 2,600",Rs 0
42,Abdu Ramhan,Ponnani,IND,0,Graduate,"Rs 1,900",Rs 0
43,ABDUL AJIJ,Muzaffarnagar,PECP,1,10th Pass,"Rs 1,13,96,086",Rs 0
44,ABDUL AZIZ,Nagaur,BSP,0,Graduate Professional,"Rs 32,03,724",Rs 0
45,ABDUL BASIT,Bijnor,KKJHS,0,Graduate,"Rs 10,92,325",Rs 0
46,ABDUL FARID,Jhalawar-Baran,IND,0,Post Graduate,"Rs 60,000",Rs 0
47,ABDUL GAFFAR,East Delhi,Lok Dal,0,8th Pass,"Rs 2,40,000",Rs 0
48,ABDUL GAFUR GUDDU PIRJI,Khandwa,IND,0,5th Pass,"Rs 4,00,000",Rs 0
49,Abdul Hamid Siddiqui,Bilaspur,IND,0,Others,"Rs 13,05,000",Rs 0
50,Abdul Jaleel,Bangalore North,IND,0,10th Pass,"Rs 10,000",Rs 0
51,ABDUL JALEEL A,Mayiladuthurai,IND,0,8th Pass,"Rs 36,000",Rs 0
52,ABDUL KADDUS,Barpeta,SP,0,10th Pass,"Rs 1,99,000",Rs 0
53,ABDUL KADER,Barpeta,IND,0,Graduate,"Rs 2,14,000",Rs 0
54,Abdul Kareem Khaja Mohammad,Mahbubnagar,LSP,0,Graduate,Nil,Rs 0
55,Abdul Karim Chowdhary,Raiganj,IND,4,Graduate,"Rs 1,43,07,000","Rs 5,81,400"
56,ABDUL MAJEED MALIK,Jammu,BCDP,0,Not Given,"Rs 80,000",Rs 0
57,ABDUL MAJEED OOSI,Vellore,IND,0,Graduate,"Rs 12,12,000","Rs 2,50,192"
58,ABDUL MANNAN HOSSAIN,Murshidabad,INC,1,Graduate,"Rs 17,09,788","Rs 10,06,391"
59,ABDUL MOMIN SEKH,Howrah,IND,0,12th Pass,"Rs 2,20,000",Rs 0
60,ABDUL MUSTAFA,Dhanbad,IND,0,Post Graduate,"Rs 75,000",Rs 0
61,ABDUL QAYYUM,Jhalawar-Baran,BSP,0,Graduate,"Rs 8,11,200",Rs 0
62,ABDUL RAHMAN,Inner Manipur,IND,0,Post Graduate,"Rs 41,27,381",Rs 0
63,ABDUL RAHMAN,Vellore,DMK,0,Graduate,"Rs 1,25,47,128","Rs 32,97,328"
64,ABDUL RAJAK,Jaipur,IND,0,Literate,"Rs 6,56,100",Rs 0
65,ABDUL RAJJAK URF KAL,Kishanganj,IND,0,Literate,"Rs 1,00,000",Rs 0
66,ABDUL RAJJAQ,East Delhi,IND,0,Not Given,"Rs 7,000",Rs 0
67,ABDUL RASHEED,Guna,AD,0,12th Pass,"Rs 21,40,500","Rs 70,000"
68,ABDUL RASHEED SHAIKH,Uttara Kannada,IND,1,Not Given,"Rs 18,20,000",Rs 0
69,ABDUL RASHID,Baghpat,IND,0,Graduate,"Rs 70,000",Rs 0
70,ABDUL RASHID LONE,Srinagar,RPI(A),0,10th Pass,"Rs 3,45,000",Rs 0
71,Abdul Rassaq Moulavi,Palakkad,NCP,0,8th Pass,"Rs 14,07,810",Rs 0
72,ABDUL SAMAD,Chandni Chowk,RPIE,1,10th Pass,"Rs 29,90,000","Rs 4,00,000"
73,ABDUL SAMAD,Bijnor,IND,0,10th Pass,"Rs 2,11,943",Rs 0
74,Abdul Satar,Karakat,IND,0,Graduate Professional,"Rs 5,95,000","Rs 4,89,000"
75,ABDUL SATTAR,Purnia,IND,0,Graduate,"Rs 3,23,000",Rs 0
76,ABDUL SATTAR . G,Nandyal,B. C. United Front,0,10th Pass,"Rs 6,00,000",Rs 0
77,ABDUL SHAMAD KHAN,Chhindwara,IND,0,Graduate,"Rs 17,30,000","Rs 80,000"
78,ABDULBARI SIDDIKI,Madhubani,RJD,1,12th Pass,"Rs 96,11,661","Rs 16,22,144"
79,ABDUR RAHIM,Darbhanga,IND,0,Literate,"Rs 51,00,000",Rs 0
80,Abdur Razzaque,Maldaha Dakshin,CPM,0,Post Graduate,"Rs 15,32,819","Rs 83,327"
81,ABDUR URF ANSARI,Maharajganj,NLHP,0,Post Graduate,"Rs 23,67,000",Rs 0
82,ABDUS SAMAD AHMED,Barpeta,AUDF,2,Post Graduate,"Rs 16,41,461",Rs 0
83,Abdus Sattar Mujahed,Secunderabad,MUL,0,Graduate,"Rs 11,39,000",Rs 0
84,ABHANG KONDIBHAU BHIMAJI,Shirur,IND,0,5th Pass,"Rs 6,09,000","Rs 24,000"
85,Abhay Kumar Anil,Jahanabad,IND,0,Graduate,"Rs 3,18,053","Rs 49,098"
86,ABHAY SINGH,Bhiwani-Mahendragarh,IND,0,10th Pass,"Rs 55,000","Rs 21,950"
87,ABHAY SRIVASTAVA,Allahabad,IND,0,Not Given,"Rs 30,000",Rs 0
88,ABHAYPRATAP SINGH,Firozabad,JBSP,0,Post Graduate,"Rs 2,02,000",Rs 0
89,ABHICHHEDILALYADAV,Unnao,IND,1,12th Pass,"Rs 40,87,000",Rs 0
90,ABHIJIT AATYA VASAVE,Nandurbar,IND,0,Not Given,"Rs 25,000",Rs 0
91,ABHIJIT DAS,Diamond Harbour,BJP,1,Post Graduate,"Rs 10,20,000",Rs 0
92,Abhijit Majumdar,Darjeeling,CPI(ML)(L),0,Post Graduate,"Rs 28,55,000","Rs 6,00,000"
