Sno,Candidate∇,Adilabad,Party,Criminal Case,Education,Total Assets,Liabilities
1,A.T. NANA PATIL,Agra,BJP,0,Graduate,"Rs 10,38,39,607","Rs 92,00,000"
2,AARON RASHID.J.M,Ahmedabad East,INC,0,12th Pass,"Rs 24,89,74,573","Rs 21,91,815"
3,AAWALE JAYWANT GANGARAM,Ahmedabad West,INC,1,10th Pass,"Rs 3,04,85,766",Rs 0
4,ABDUL MANNAN HOSSAIN,Ahmednagar,INC,1,Graduate,"Rs 17,09,788","Rs 10,06,391"
5,ABDUL RAHMAN,Ajmer,DMK,0,Graduate,"Rs 1,25,47,128","Rs 32,97,328"
6,Abu Hasem Khan Choudhury,Akbarpur,INC,0,Doctorate,"Rs 87,82,797",Rs 0
7,Acharia Basudeb,Akola,CPM,0,Post Graduate,"Rs 32,49,037",Rs 0
8,AD.KAMAT GURUDAS VASANT,Alappuzha,INC,0,Graduate Professional,"Rs 6,39,26,963",Rs 0
9,ADAGUR H. VISWANATH,Alathur,INC,0,Graduate Professional,"Rs 2,82,91,172","Rs 73,67,061"
10,ADHALRAO SHIVAJI DATTATRAY,Aligarh,SHS,4,Post Graduate,"Rs 12,71,13,134","Rs 1,62,21,275"
11,ADHIKARI SISIR KUMAR,Alipurduars,AITC,1,12th Pass,"Rs 10,83,159",Rs 0
12,ADHIKARI SUVENDU,Allahabad,AITC,3,Graduate,"Rs 47,51,934",Rs 0
13,ADHIR RANJAN CHOWDHURY,Almora,INC,4,10th Pass,"Rs 2,99,43,557","Rs 19,26,083"
14,ADITYA NATH,Alwar,BJP,2,Graduate,"Rs 21,82,212",Rs 0
15,ADSUL ANANDRAO VITHOBA,Amalapuram,SHS,1,Graduate,"Rs 1,77,08,418",Rs 0
16,Adv A Sampath,Ambala,CPM,2,Post Graduate,"Rs 89,99,000","Rs 21,50,029"
17,Adv P T Thomas,Ambedkar Nagar,INC,0,Post Graduate,"Rs 39,84,094","Rs 4,48,284"
18,ADV. DUDHGAONKAR GANESHRAO NAGORAO,Amethi,SHS,0,Graduate Professional,"Rs 2,81,11,720",Rs 0
19,AGATHA K. SANGMA,Amravati,NCP,0,Post Graduate,"Rs 66,44,295",Rs 0
20,AHIR HANSARAJ GANGARAM,Amreli,BJP,30,10th Pass,"Rs 80,84,050","Rs 2,62,243"
21,AJAY MAKAN,Amritsar,INC,1,Post Graduate,"Rs 4,01,48,040","Rs 97,120"
22,AJIT SINGH,Amroha,RLD,0,Post Graduate,"Rs 5,82,32,462","Rs 13,077"
23,AKHILESH YADAV,Anakapalle,SP,0,Graduate Professional,"Rs 4,85,82,202","Rs 77,26,354"
24,AKHILESH YADAV,Anandpur Sahib,SP,0,Graduate Professional,"Rs 4,44,09,557","Rs 77,26,354"
25,ALAGIRI M.K,Anantapur,DMK,0,Graduate,"Rs 19,39,78,895",Rs 0
26,ALAGIRI S,Anantnag,INC,0,Graduate,"Rs 1,18,66,846","Rs 7,81,36,525"
27,Amarnath Pradhan,Andaman & Nicobar Islands,INC,0,Graduate,"Rs 43,25,000","Rs 4,66,494"
28,AMBICA BANERJEE,Aonla,AITC,1,Graduate Professional,"Rs 6,29,26,674","Rs 72,33,333"
29,ANAND PRAKASH PARANJAPE,Arakkonam,SHS,1,Post Graduate,"Rs 1,19,98,220","Rs 38,71,225"
30,ANANDAN M,Araku,ADMK,0,12th Pass,"Rs 89,38,646","Rs 9,67,994"
31,ANANT GEETE,Arambag,SHS,1,10th Pass,"Rs 85,55,617",Rs 0
32,Ananth Kumar,Arani,BJP,0,Graduate Professional,"Rs 1,22,06,366",Rs 0
33,ANANTHA VENKATA RAMI REDDY,Araria,INC,0,Post Graduate,"Rs 1,30,15,000",Rs 0
34,Ananthkumar Hegde,Arrah,BJP,3,12th Pass,"Rs 64,27,192","Rs 39,55,458"
35,Angadi Suresh Channabasappa,Arunachal East,BJP,2,Graduate Professional,"Rs 22,17,34,263","Rs 4,33,92,842"
36,ANJAN KUMAR YADAV,Arunachal West,INC,0,12th Pass,"Rs 2,06,20,697","Rs 15,00,000"
37,ANNAYYAGARI SAI PRATHAP,Asansol,INC,0,12th Pass,"Rs 62,33,245","Rs 6,05,031"
38,ANNUTANDON,Aska,INC,1,Graduate,"Rs 42,13,52,753",Rs 0
39,Anto Antony,Attingal,INC,0,Graduate,"Rs 14,24,205","Rs 17,06,713"
40,ANUP KUMAR SAHA,Aurangabad,CPM,0,Post Graduate,"Rs 74,72,944",Rs 0
41,ANURAG SINGH THAKUR,Aurangabad,BJP,0,Graduate,"Rs 2,41,50,103","Rs 25,04,550"
42,Arjun Charan Sethi,Autonomous District,BJD,0,Post Graduate,"Rs 1,10,61,000","Rs 25,00,000"
43,ARJUN MUNDA,Azamgarh,BJP,2,Graduate Professional,"Rs 1,23,84,895","Rs 1,76,069"
44,ARJUN RAM MEGHWAL,Badaun,BJP,0,Post Graduate,"Rs 25,63,467",Rs 0
45,ARJUN ROY,Bagalkot,JD(U),0,Doctorate,"Rs 29,07,146","Rs 4,62,913"
46,ARUN SUBHASHCHANDRA YADAV,Baghpat,INC,1,Graduate,"Rs 5,32,89,688","Rs 2,75,62,966"
47,ARVIND KUMAR CHAUDHARY,Baharampur,BSP,0,12th Pass,"Rs 1,86,43,936",Rs 0
48,ARVIND KUMAR SHARMA,Bahraich,INC,0,Post Graduate,"Rs 1,90,71,256",Rs 0
