Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Kaushal Yadav,NAWADA,JD(U),8,Post Graduate,"Rs 15,45,66,136","Rs 26,04,969"
2,M. Aamir Rashadi,AZAMGARH,Rashtriya Ulama Council,1,Others,"Rs 21,91,523",Rs 0
3,Rakesh Kumar Giri,MAHARAJGANJ,IND,0,Graduate Professional,"Rs 3,06,023",Rs 0
4,(kuppal)g.devadoss,CHENNAI SOUTH,IND,0,8th Pass,"Rs 36,30,000","Rs 8,50,000"
5,(maj Gen (retd.) ) Bhuwan Chandra Khanduri (avsm),GARHWAL,BJP,0,Graduate Professional,"Rs 4,43,57,368",Rs 0
6,A Biju,ALATHUR,IND,0,8th Pass,"Rs 5,64,425","Rs 1,75,000"
7,A N Radhakrishnan,ERNAKULAM,BJP,0,Graduate,"Rs 78,13,475",Rs 0
8,A Nelson,SIVAGANGA,IND,0,12th Pass,"Rs 37,322",Rs 0
9,A P Jithender Reddy,MAHBUBNAGAR,TRS,4,Graduate,"Rs 14,08,31,576","Rs 13,86,969"
10,A Pandian,ANDAMAN AND NICOBAR ISLANDS,AIFB,0,12th Pass,"Rs 8,59,410","Rs 3,50,000"
11,A Prasad,KOLAR,IND,0,10th Pass,"Rs 8,40,000",Rs 0
12,A Sampath,ATTINGAL,CPI(M),1,Doctorate,"Rs 1,77,91,149","Rs 14,21,392"
13,A Thavamani,MADURAI,BSP,0,Illiterate,"Rs 51,000",Rs 0
14,A Vijayaraghavan,KOZHIKODE,CPI(M),0,Graduate Professional,"Rs 57,57,792","Rs 1,52,305"
15,A. Devadas,BELLARY,SUCI(C),0,10th Pass,"Rs 11,54,658",Rs 0
16,A. Irudayadass,CHENNAI SOUTH,IND,0,Graduate,"Rs 5,51,640",Rs 0
17,A. Jaiganesh,CHENNAI SOUTH,Lok Satta Party,0,Graduate,"Rs 58,55,905",Rs 0
18,A. Josekutty,KOLLAM,IND,0,10th Pass,"Rs 5,45,117","Rs 2,24,328"
19,A. Magesh,CHENNAI SOUTH,IND,0,Graduate,"Rs 68,94,841","Rs 66,500"
20,A. P. Shamseer,VADAKARA,IND,0,Literate,"Rs 55,620",Rs 0
21,A. Raghunath Varma,BERHAMPUR,IND,0,Post Graduate,"Rs 2,70,800",Rs 0
