pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Agra,13,GEN,Uttar Pradesh,2014,Ravi Shankar,M,Independent,IND,1345,1139217
Agra,13,GEN,Uttar Pradesh,2014,Umaruddin Khan,M,Independent,IND,1474,1139217
Agra,13,GEN,Uttar Pradesh,2014,Chhatra Pal Patel,M,Apna Dal,AD,2680,1139217
Agra,13,GEN,Uttar Pradesh,2014,Krishna Adhikari,F,Communist Party Of India (Marxist-Lenninist) (Liberation),CPI(ML)(L),6273,1139217
Agra,13,GEN,Uttar Pradesh,2014,Raj Rai Singh,F,Indian National Congress,INC,50086,1139217
Agra,13,GEN,Uttar Pradesh,2014,Ram Saran Verma,M,Samajwadi Party,SP,58792,1139217
Agra,13,GEN,Uttar Pradesh,2014,Anis Ahmad Khan Alias Phool Baboo,M,Bahujan Samaj Party,BSP,193566,1139217
Agra,13,GEN,Uttar Pradesh,2014,Maneka Gandhi,F,Independent,IND,433421,1139217
Agra,14,GEN,Uttar Pradesh,2014,Udit Yadav,M,Independent,IND,176,1130852
Agra,14,GEN,Uttar Pradesh,2014,Rajesh Yadav,M,Independent,IND,236,1130852
Agra,14,GEN,Uttar Pradesh,2014,Arif Hussain,M,Independent,IND,321,1130852
Agra,14,GEN,Uttar Pradesh,2014,Sonpal,M,Independent,IND,376,1130852
Agra,14,GEN,Uttar Pradesh,2014,Harishchandra Verma,M,Independent,IND,663,1130852
Agra,14,GEN,Uttar Pradesh,2014,Ajai Vikram,M,Independent,IND,776,1130852
Agra,14,GEN,Uttar Pradesh,2014,Ram Kumar,M,Independent,IND,1066,1130852
Agra,14,GEN,Uttar Pradesh,2014,Mumtaz Khan,M,Independent,IND,1232,1130852
Agra,14,GEN,Uttar Pradesh,2014,Mangal Singh,M,Shivsena,SHS,1363,1130852
Agra,14,GEN,Uttar Pradesh,2014,Umendra Pal,M,Apna Dal,AD,1819,1130852
Agra,14,GEN,Uttar Pradesh,2014,Banwari Singh,M,Independent,IND,3100,1130852
Agra,14,GEN,Uttar Pradesh,2014,Mewa Ram,M,Independent,IND,3458,1130852
