PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Criminal Case,Education,,
['Adilabad', '1', 'ST', 'Telangana', 'Godam Nagesh', 'Telangana Rashtra Samithi', '1386233', '1045839', '75.4 %', '171290', '16.4%', '0', 'Post Graduate',,
['Agra', '18', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Dr. Ram Shankar Katheria', 'Bharatiya Janta Party', '1814739', '1070400', '59.0 %', '300263', '28.1%', '21', 'Doctorate',,
['Ahmedabad East', '7', 'GEN', 'Gujarat', 'Paresh Rawal', 'Bharatiya Janta Party', '1601832', '985525', '61.5 %', '326633', '33.1%', '0', '12th Pass',461']],
['Ahmedabad West', '8', 'SC', 'Gujarat', 'Dr. Kirit P Solanki', 'Bharatiya Janta Party', '1534400', '964609', '62.9 %', '320311', '33.2%', '0', 'Post Graduate',,
['Ajmer', '13', 'GEN', 'Rajasthan', 'Sanwar Lal Jat', 'Bharatiya Janta Party', '1683292', '1156314', '68.7 %', '171983', '14.9%', '0', 'Doctorate',,
['Akbarpur', '44', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Devendra Singh @ Bhole Singh', 'Bharatiya Janta Party', '1768623', '971375', '54.9 %', '278997', '28.7%', '0', '10th Pass',,
['Akola', '6', 'GEN', 'Maharashtra', 'Dhotre Sanjay Shamrao', 'Bharatiya Janta Party', '1646463', '978491', '59.4 %', '203116', '20.8%', '3', 'Graduate Professional',,
['Alappuzha', '15', 'GEN', 'Kerala', 'K C Venugopal', 'Indian National Congress', '1271324', '997464', '78.5 %', '19407', '1.9%', '0', 'Post Graduate',,
['Alathur', '9', 'SC', 'Kerala', 'P.K.Biju', 'Communist Party Of India (MARXIST)', '1216351', '927228', '76.2 %', '37312', '4.0%', '0', 'Post Graduate',,
['Aligarh', '15', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Satish Kumar', 'Bharatiya Janta Party', '1793126', '1064357', '59.4 %', '286736', '26.9%', '1', '10th Pass',,
['Alipurduars', '2', 'ST', 'West Bengal', 'Dasrath Tirkey', 'All India Trinamool Congress', '1470911', '1223566', '83.2 %', '21397', '1.7%', '0', 'Graduate',,
['Allahabad', '52', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Shyama Charan Gupta', 'Bharatiya Janta Party', '1666569', '891582', '53.5 %', '62009', '7.0%', '0', 'Graduate Professional',,
['Almora', '3', 'SC', 'Uttarakhand', 'Ajay Tamta', 'Bharatiya Janta Party', '1254328', '656525', '52.3 %', '95690', '14.6%', '0', '12th Pass',,
['Alwar', '8', 'GEN', 'Rajasthan', 'Chand Nath', 'Bharatiya Janta Party', '1628067', '1062305', '65.3 %', '283895', '26.7%', '0', 'Graduate',,
['Amalapuram', '24', 'SC', 'Andhra Pradesh [2014 Onwards]', 'Dr Pandula Ravindra Babu', 'Telugu Desam', '1357866', '1120927', '82.6 %', '120576', '10.8%', '0', 'Graduate Professional',,
['Ambala', '1', 'SC', 'Haryana', 'Rattan Lal Kataria', 'Bharatiya Janta Party', '1692227', '1218995', '72.0 %', '340074', '27.9%', '0', 'Post Graduate',,
