,MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities,PARTY SYMBOL,MARGIN,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),MARGIN/Voters,
31,Goddeti Madhavi,Elected,5/23/2019,In office,1,Andhra Pradesh,Araku,Yuvajana Sramika Rythu Congress Party,Female,Graduate Professional,"B.Sc. (Computer), B.P.Ed., Educated at SPACES Degree College and Srinivasa College of Physical Education",27,9,0,0,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,2,2019-20,,,0,141179,0,Ceiling Fan,224089,7,2035,1451418,713,13,10,8,1078235,74.29,0.207829462,
280,Chandrani Murmu,Elected,5/23/2019,In office,1,Odisha,Keonjhar,Biju Janata Dal,Female,Graduate Professional,Information Not Available,Information not available,5,0,0,0.77,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-11-2019,2.5,1,1997-98,,,0,340580,0,Conch,66203,7,1968,1516688,771,11,8,6,1176479,77.57,0.05627214765,
14,Balak Nath,Elected,5/23/2019,In office,1,Rajasthan,Alwar,Bharatiya Janata Party,Male,10th Pass,Information Not Available,35,4,0,27,0.74,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,2/12/2019,2.5,1,2019-20,,,0,352929,0,Lotus,329971,8,1991,1888524,949,13,11,9,1268477,67.17,0.2601316382,
99,Sadhvi Pragya Singh Thakur,Elected,5/23/2019,In office,1,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Female,Post Graduate,Information Not Available,50,11,0,2,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,5,2.81,3.04,2,2019-2020,6/2/2020,2.5,2,2019-20,,,1,444224,0,Lotus,364822,8,2510,2142861,854,39,30,28,1408669,65.74,0.2589834802,
475,Indra Hang Subba,Elected,5/23/2019,In office,1,Sikkim,Sikkim,Sikkim Krantikari Morcha,Male,Post Graduate,Information Not Available,Information not available,5,0,3,0.83,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5,0,3,0.83,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-02-2020,2.5,2,1997-98,,,0,478817,0,Table Lamp,12433,31,567,434128,766,11,11,9,353415,81.41,0.03517960471,
515,Pratima Bhoumik,Elected,5/23/2019,In office,1,Tripura,Tripura West,Bharatiya Janata Party,Female,Graduate,Information Not Available,Information not available,11,0,65,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9,0,89,0.92,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-02-2020,2.5,1,1997-98,,,0,642398,0,Lotus,305689,30,1679,1352857,806,18,13,11,1108427,81.93,0.275786317,
39,Pramila Bisoyi,Elected,5/23/2019,In office,1,Odisha,Aska,Biju Janata Dal,Female,5th Pass,Information Not Available,71,2,0,10,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-02-2020,2.5,2,-,,,0,732470,0,Conch,204707,7,1694,1541145,910,10,8,6,1013890,65.79,0.2019025733,
311,P.P. Mohammed Faizal,Elected,5/23/2019,In office,2,Lakshadweep,Lakshadweep,Nationalist Congress Party,Male,Post Graduate,M.B.A.,44,10,0,58,0.67,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10,0,58,0.67,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-03-2020,2.5,1,1997-98,,,2,938641,0,Clock,823,1,51,55189,1082,7,6,4,47026,85.21,0.01750095692,
309,Jamyang Tsering Namgyal,Elected,5/23/2019,In office,1,Jammu and Kashmir,Ladakh,Bharatiya Janata Party,Male,Graduate,"Bachelor of Arts, Educated at University of Jammu, J & K",34,14,0,17,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.2,0,18,0.75,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,2,2018-19,"Eligible MPR not Received, Utilisation Certificate Pending.","Eligible MPR not Received, Utilisation Certificate Pending.",1,981904,0,Lotus,10930,4,559,179232,321,8,4,0,127350,71.05,0.0858264625,
9,Ramya Haridas,Elected,5/23/2019,In office,1,Kerala,Alathur,Indian National Congress,Female,10th Pass,Information Not Available,34,18,0,79,0.83,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,,,,3,1152816,0,Hand,158968,7,1135,1266794,1116,10,6,4,1019376,80.47,0.1559463829,
